"worker_id","country","submission_rate","num_tasks","num_estimates","age","gender","homecooked_meals","use_recipe_website","cooking_experience","dietary_preferences","recipe_id","batch_no","familiarity","reason","reason_image","reason_title","reason_ingredients","reason_description","reason_ratings","cal","ridge_cal","estimate_cal","estimate_cal_discrete","fat","ridge_fat","estimate_fat","estimate_fat_discrete","satfat","ridge_satfat","estimate_satfat","estimate_satfat_discrete","sugar","ridge_sugar","estimate_sugar","estimate_sugar_discrete","salt","ridge_salt","estimate_salt","estimate_salt_discrete","fsa","ridge_fsa","estimate_fsa_score"
"d3146c08e5b46e055ceb1dd455bc9c07","VEN",0,1,10,"18-24","male","monthly","monthly",5,"Omnivore","0481b35a144366fc2ce4b9718d47f5d2",3,1,"title",0,1,0,0,0,144.8594619,183.4629535,180,"medium",6.218998948,11.46471059,16,"medium",2.555238238,4.003536001,5,"medium",1.972794228,1.880206609,4,"low",0.311889373,0.373598778,1,"medium",10,9.57398516487087,7
"5f839dc31c4018935d7758d2ff00cc7e","ITA",660,2,20,"35-44","female","daily","weekly",5,"Omnivore","0481b35a144366fc2ce4b9718d47f5d2",3,2,"ingredients",0,0,1,0,0,144.8594619,183.4629535,300,"high",6.218998948,11.46471059,19,"medium",2.555238238,4.003536001,1.8,"medium",1.972794228,1.880206609,6,"medium",0.311889373,0.373598778,0.4,"medium",10,9.57398516487087,8
"212cd3adf57ad5ee0c6238d3ca013d67","ALB",660,1,10,"35-44","male","weekly","weekly",4,"Omnivore","0481b35a144366fc2ce4b9718d47f5d2",3,3,"title,image",1,1,0,0,0,144.8594619,183.4629535,230,"high",6.218998948,11.46471059,17.8,"high",2.555238238,4.003536001,6.3,"high",1.972794228,1.880206609,5,"low",0.311889373,0.373598778,1.8,"high",10,9.57398516487087,10
"c2bbc8ef02e2d02f0c38d87b260fd5ae","VEN",0,3,30,"25-34","male","daily","rarely",4,"Omnivore","0481b35a144366fc2ce4b9718d47f5d2",3,4,"ingredients",0,0,1,0,0,144.8594619,183.4629535,200,"high",6.218998948,11.46471059,20,"high",2.555238238,4.003536001,6,"high",1.972794228,1.880206609,10,"medium",0.311889373,0.373598778,1,"medium",10,9.57398516487087,10
"fa077dd438a6f66a35896b0ed7f11297","VEN",0,2,29,"25-34","female","daily","weekly",5,"Carnivore","0481b35a144366fc2ce4b9718d47f5d2",3,4,"ingredients",0,0,1,0,0,144.8594619,183.4629535,5,"high",6.218998948,11.46471059,3,"high",2.555238238,4.003536001,1,"high",1.972794228,1.880206609,5,"high",0.311889373,0.373598778,1,"high",10,9.57398516487087,12
"ba24742e739af18e9d906148d19d575e","VEN",0,1,19,"gt55","female","rarely","monthly",2,"Omnivore","0481b35a144366fc2ce4b9718d47f5d2",3,3,"title",0,1,0,0,0,144.8594619,183.4629535,180,"medium",6.218998948,11.46471059,15,"medium",2.555238238,4.003536001,4,"medium",1.972794228,1.880206609,12,"medium",0.311889373,0.373598778,0.7,"medium",10,9.57398516487087,8
"6f2bdeea5ed8aa0c9da29e2fb6612cf3","POL",0,3,30,"25-34","male","weekly","weekly",4,"vegetarian","0481b35a144366fc2ce4b9718d47f5d2",3,3,"image,ingredients",1,0,1,0,0,144.8594619,183.4629535,150,"medium",6.218998948,11.46471059,6,"medium",2.555238238,4.003536001,15,"medium",1.972794228,1.880206609,20,"medium",0.311889373,0.373598778,1,"medium",10,9.57398516487087,8
"385bb024876c87e506cc4069d935b508","VEN",0,2,20,"25-34","female","daily","weekly",4,"Omnivore","0481b35a144366fc2ce4b9718d47f5d2",3,5,"title,ingredients,description",0,1,1,1,0,144.8594619,183.4629535,250,"high",6.218998948,11.46471059,10.5,"medium",2.555238238,4.003536001,6,"medium",1.972794228,1.880206609,30,"high",0.311889373,0.373598778,1,"medium",10,9.57398516487087,9
"26f24518fd4a98a7147cb102fee940f9","VEN",660,2,20,"35-44","male","weekly","monthly",3,"Carnivore","0481b35a144366fc2ce4b9718d47f5d2",3,4,"ingredients",0,0,1,0,0,144.8594619,183.4629535,1600,"high",6.218998948,11.46471059,30,"high",2.555238238,4.003536001,9,"high",1.972794228,1.880206609,30,"high",0.311889373,0.373598778,6,"high",10,9.57398516487087,12
"9556551c0b03e2942a3df82295e42cec","VEN",0,2,20,"25-34","male","daily","monthly",4,"vegan","0481b35a144366fc2ce4b9718d47f5d2",3,4,"title,image",1,1,0,0,0,144.8594619,183.4629535,120,"medium",6.218998948,11.46471059,3,"low",2.555238238,4.003536001,1,"low",1.972794228,1.880206609,3,"low",0.311889373,0.373598778,0.3,"low",10,9.57398516487087,4
"7dfaa7d13fe725b2aa922c94f6ed9885","RUS",360,1,17,"18-24","female","weekly","monthly",3,"Omnivore","0481b35a144366fc2ce4b9718d47f5d2",3,2,"image",1,0,0,0,0,144.8594619,183.4629535,45,"low",6.218998948,11.46471059,2,"low",2.555238238,4.003536001,1,"low",1.972794228,1.880206609,14,"high",0.311889373,0.373598778,0.1,"low",10,9.57398516487087,6
"b6762281a4a96641becbba896fa9c434","UKR",0,3,30,"25-34","male","daily","daily",4,"Pescatarian","0481b35a144366fc2ce4b9718d47f5d2",3,4,"image,ingredients",1,0,1,0,0,144.8594619,183.4629535,250,"high",6.218998948,11.46471059,15,"medium",2.555238238,4.003536001,5,"medium",1.972794228,1.880206609,7,"medium",0.311889373,0.373598778,0.7,"medium",10,9.57398516487087,8
"e1b7451646f1af24350e6b4d345e06b2","MEX",360,3,39,"25-34","male","weekly","weekly",5,"Omnivore","0481b35a144366fc2ce4b9718d47f5d2",3,2,"image,ingredients,description",1,0,1,1,0,144.8594619,183.4629535,150,"medium",6.218998948,11.46471059,4,"medium",2.555238238,4.003536001,5,"medium",1.972794228,1.880206609,4,"low",0.311889373,0.373598778,1.6,"high",10,9.57398516487087,8
"057a9ad9a4420a311e4bcfa2d45adc61","RUS",0,1,10,"18-24","female","weekly","weekly",3,"Omnivore","0481b35a144366fc2ce4b9718d47f5d2",3,2,"image,description,ratings",1,0,0,1,1,144.8594619,183.4629535,70,"medium",6.218998948,11.46471059,1,"low",2.555238238,4.003536001,3,"medium",1.972794228,1.880206609,30,"high",0.311889373,0.373598778,0.1,"low",10,9.57398516487087,7
"0449fce75103fc7f8591f303c8cec202","VEN",330,2,29,"25-34","male","daily","weekly",3,"Omnivore","0481b35a144366fc2ce4b9718d47f5d2",3,1,"ingredients",0,0,1,0,0,144.8594619,183.4629535,120,"medium",6.218998948,11.46471059,8,"medium",2.555238238,4.003536001,5,"low",1.972794228,1.880206609,7,"medium",0.311889373,0.373598778,1,"medium",10,9.57398516487087,7
"bc951e58056bcf1855edd1bbc375fb8c","MEX",220,3,30,"25-34","male","weekly","rarely",4,"Omnivore","0481b35a144366fc2ce4b9718d47f5d2",3,3,"title",0,1,0,0,0,144.8594619,183.4629535,250,"high",6.218998948,11.46471059,22,"high",2.555238238,4.003536001,3,"medium",1.972794228,1.880206609,0,"low",0.311889373,0.373598778,1,"medium",10,9.57398516487087,8
"77cb9c4bffa7854e7efb90a661d50b57","MEX",660,3,30,"25-34","female","daily","monthly",3,"Carnivore","0481b35a144366fc2ce4b9718d47f5d2",3,5,"ingredients",0,0,1,0,0,144.8594619,183.4629535,250,"high",6.218998948,11.46471059,18,"high",2.555238238,4.003536001,5,"medium",1.972794228,1.880206609,4,"low",0.311889373,0.373598778,0.3,"low",10,9.57398516487087,7
"8d5e124f5c18bb310a6839c2d6af2bfc","SRB",0,3,30,"45-54","male","rarely","rarely",3,"Carnivore","0481b35a144366fc2ce4b9718d47f5d2",3,1,"image,ingredients,description",1,0,1,1,0,144.8594619,183.4629535,160,"medium",6.218998948,11.46471059,9,"medium",2.555238238,4.003536001,5,"medium",1.972794228,1.880206609,5,"low",0.311889373,0.373598778,1,"medium",10,9.57398516487087,7
"df463f7da99227c2255f93c5e8be9522","UKR",0,6,60,"35-44","male","weekly","weekly",5,"Omnivore","0481b35a144366fc2ce4b9718d47f5d2",3,5,"title,ingredients,description",0,1,1,1,0,144.8594619,183.4629535,380,"high",6.218998948,11.46471059,20,"high",2.555238238,4.003536001,7,"high",1.972794228,1.880206609,7,"medium",0.311889373,0.373598778,4,"high",10,9.57398516487087,11
"ba48f307d17bd910bc32688b68658086","VEN",0,1,10,"18-24","male","weekly","rarely",4,"Omnivore","0481b35a144366fc2ce4b9718d47f5d2",3,4,"image,ingredients",1,0,1,0,0,144.8594619,183.4629535,400,"high",6.218998948,11.46471059,25,"high",2.555238238,4.003536001,7.4,"high",1.972794228,1.880206609,2,"low",0.311889373,0.373598778,1,"medium",10,9.57398516487087,9
"533b4f4406c555b6c2f23a3ea0dc1f9e","PER",330,2,20,"25-34","male","weekly","weekly",3,"Omnivore","0481b35a144366fc2ce4b9718d47f5d2",3,3,"ingredients",0,0,1,0,0,144.8594619,183.4629535,476,"high",6.218998948,11.46471059,16.5,"medium",2.555238238,4.003536001,3.8,"medium",1.972794228,1.880206609,0,"low",0.311889373,0.373598778,1.7,"high",10,9.57398516487087,8
"2da8bf767f428159ffb65f041a8047ac","VEN",0,3,30,"25-34","male","weekly","monthly",4,"Omnivore","78992321655229a0540cdb31f68b26fd",6,3,"title,image,ingredients",1,1,1,0,0,103.789394,130.7592697,180,"medium",3.66911725,6.035841978,10,"medium",1.033839667,1.585682542,5,"medium",0.831126007,1.609585406,15,"medium",0.024325639,0.237116326,1,"medium",5,7.62620813048001,8
"46e12ab059d0f05690703efbd7983484","RUS",0,3,30,"25-34","female","daily","monthly",4,"Pescatarian","78992321655229a0540cdb31f68b26fd",6,3,"ingredients,description",0,0,1,1,0,103.789394,130.7592697,187,"medium",3.66911725,6.035841978,8,"medium",1.033839667,1.585682542,2,"medium",0.831126007,1.609585406,8,"medium",0.024325639,0.237116326,0.8,"medium",5,7.62620813048001,8
"a5fe0b44f84ecfa1cbf78f039a494e92","ROU",0,1,10,"25-34","male","daily","monthly",2,"vegetarian","78992321655229a0540cdb31f68b26fd",6,3,"image,description",1,0,0,1,0,103.789394,130.7592697,150,"medium",3.66911725,6.035841978,5,"medium",1.033839667,1.585682542,3,"medium",0.831126007,1.609585406,10,"medium",0.024325639,0.237116326,1,"medium",5,7.62620813048001,8
"c2bbc8ef02e2d02f0c38d87b260fd5ae","VEN",0,3,30,"25-34","male","daily","rarely",4,"Omnivore","78992321655229a0540cdb31f68b26fd",6,2,"ingredients",0,0,1,0,0,103.789394,130.7592697,50,"low",3.66911725,6.035841978,2,"low",1.033839667,1.585682542,0.5,"low",0.831126007,1.609585406,1,"low",0.024325639,0.237116326,0.5,"medium",5,7.62620813048001,5
"972ca7c9bb8481c8df38c41cac8eb31f","SVN",660,1,10,"35-44","female","daily","monthly",5,"Omnivore","78992321655229a0540cdb31f68b26fd",6,2,"ingredients",0,0,1,0,0,103.789394,130.7592697,180,"medium",3.66911725,6.035841978,2.9,"low",1.033839667,1.585682542,1.3,"low",0.831126007,1.609585406,3,"medium",0.024325639,0.237116326,0.5,"medium",5,7.62620813048001,6
"533b4f4406c555b6c2f23a3ea0dc1f9e","PER",330,2,20,"25-34","male","weekly","weekly",3,"Omnivore","78992321655229a0540cdb31f68b26fd",6,3,"ingredients",0,0,1,0,0,103.789394,130.7592697,512,"high",3.66911725,6.035841978,18.1,"high",1.033839667,1.585682542,1.3,"low",0.831126007,1.609585406,2,"low",0.024325639,0.237116326,0.4,"medium",5,7.62620813048001,7
"9a7250136702634a409dd724a1b07c8a","VEN",0,2,20,"18-24","male","weekly","rarely",3,"Omnivore","78992321655229a0540cdb31f68b26fd",6,4,"title,image",1,1,0,0,0,103.789394,130.7592697,240,"high",3.66911725,6.035841978,18,"high",1.033839667,1.585682542,4,"medium",0.831126007,1.609585406,7,"medium",0.024325639,0.237116326,1.3,"medium",5,7.62620813048001,9
